HUL Code,HUL Outlet Name,Shikhar Onboarding,DETS ME Name,DETS Beat,FnR ME Name,FnR Beat,ECO,Shikhar
HUL-217701D-P15454,Jain Provision Store-D,YES,Anjan Sarkar,D-BORTALA STREET 1,Rajesh Karmakar,F-KALAKAR STREET 2,5323.67,0
HUL-216252F-C369,JAIN STORE(NATUNBAJAR)-F-D,NO,0,,Soumik Ghosh,F-NATUNBAZAR 2,3964.83,0
HUL-217701D-P6597,JAIN TEA CO.-D,YES,0,,Soumik Ghosh,F-INDIA EXCH. PLACE,8218.32,15402.18
WB70000102028,JAIN TRADERS-D-D,NO,0,,0,,0,0
HUL-217085D-PAR236,Jains Stores-D-D,YES,S K Islam,D-M G ROAD,Koina Prasad,F-M.G.ROAD,3088.45,0
HUL-217085D-PAR246,JAISWAL GEN. ST-D-D,YES,Subir Mondal,D-KHOTTA BAZAR-WHOLESALE,Debojyoti Ghosh,F-KHOTTA BAZAR,111232.79,9531.94
HUL-217085D-PAR239,Jaiswal Stores-D-D,YES,Sunil Mullick,D-AHARITOLA,0,,4670.71,0
HUL-217085D-P3635,JAISWAL VARIETY STORE-D-D,YES,Sandip Saha,D-D C MITRA STREET,Debojyoti Ghosh,F-D C M STREET,5451.74,0
HUL-217085D-PAR240,Jaladhar Bhukta-D-D,YES,Sourav Das,D-D.C.M STREET,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,3814.32,1833.2
HUL-217701D-P4358,JALPAN SELLER-D,YES,Anjan Sarkar,D-M M TALA_COMM,Debojyoti Ghosh,F-M M TALA,2880.12,0
HUL-217701D-P22155,Jalpan-D,NO,Sourav Das,D-KHOTTA BAZAR,Debojyoti Ghosh,F-KHOTTA BAZAR,4673.17,0
HUL-217701F-P4295,JAMAL STORE-F,NO,Sourav Das,D-ZAKARIA STREET,0,,3496.51,1496.51
HUL-217701D-P16964,Jamini Confectioners-D,NO,0,,Soumik Ghosh,F-BAG BAZAR,1371.04,0
HUL-217701D-P6909,Jamuna Das-P-D,YES,Sanjay Das,D-BAGREE,0,,839.41,0
HUL-217701D-P14907,Janata Jalpan-D,YES,S K Islam,D-M G ROAD,0,,651.23,1727.99
HUL-217085D-P1015,JANATA STORES(BOW1)-D-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,11041.99,2935.2
HUL-217085D-P1242,Janata Stores(colutola)-D-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,1420.55,0
HUL-217085D-PAR241,Janata Stores-D-D,YES,Sourav Das,D-MECHUA 1,0,,0,-218.18
HUL-217701D-P11490,JANKI PRASAD SHAW & BROS-D,NO,0,,0,,451.94,0
HUL-217701D-P17939,Janta Stores-D,YES,Subir Mondal,D-KHOTTA BAZAR-WHOLESALE,0,,674.67,0
HUL-216252F-P1923,JAY MA TARA STORE-F-D,YES,0,,Debojyoti Ghosh,F-KHOTTA BAZAR,0,0
HUL-217085D-PAR242,Jaya Churi Stationers-D-D,YES,Anjan Sarkar,D-NATUN BAZAR-2,Soumik Ghosh,F-NATUNBAZAR 2,22939.98,10404.5
HUL-217085D-PAR243,JAYPRAKASH-D-D,YES,Anjan Sarkar,D-BORTALA STREET 1,Md. Asraf Ashraf,F-BURTOLA RETAIL,822.16,0
HUL-217085D-PAR227,JGhosh-D-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,7158.41,2827.21
HUL-217701D-P4534,Jharna Ghose---Ic-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,2359.83,1223.49
HUL-217701P22429,Jhun Jhun Wala Store,NO,Anjan Sarkar,D-BORTALA STREET 1,Md. Asraf Ashraf,F-BURTOLA RETAIL,2534.97,6862.02
HUL-217085D-PAR303,JHUN JHUN WALA STORES-D-D,YES,0,,0,,0,0
HUL-217701D-P7108,JITENDAR STORES-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,Debojyoti Ghosh,F-CHATU BABU BAZAR,8053.32,0
HUL-217701D-P4342,JOGINDER SHOW-D,YES,S K Islam,D-B K PAUL,Koina Prasad,F-B.K.PAUL,5924.24,0
HUL-217701D-P11582,JOY ENTERPRISE-D,NO,0,,0,,0,0
HUL-217701D-P6273,Joy Ganesh Enterprise-D-D,NO,Sunil Mullick,D-BAGBAZAR,Soumik Ghosh,F-BAG BAZAR,2460.03,0
HUL-217701D-P6291,Joy Ganesh Enterprises,YES,0,,0,,565.27,0
HUL-217701D-P6808,JOY GOPAL STORES-D-D,YES,Anjan Sarkar,D-NATUN BAZAR-2,0,,934.24,1313.85
HUL-217085D-PAR247,JOY GURU BHANDAR-D-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,0,,259.71,0
HUL-217701D-P17063,Joy Guru Stores-D,YES,Subir Mondal,D-NATUN BAZAR-1,0,,0,0
HUL-217085D-PAR251,JOY JOY BHANDER-D-D,YES,Sunil Mullick,D-KALAKAR STREET 2,Rajesh Karmakar,F-KALAKAR STREET 2,18359.86,1487.37
HUL-217701D-P14802,Joy Maa Santoshi Bhander-D,NO,Anjan Sarkar,D-NATUN BAZAR-2,Soumik Ghosh,F-NATUNBAZAR 2,14833.33,0
WB70000702030,JOY MAA TARA BHANDER-D-D,YES,Sanjay Das,D-RAJAKATRA 5,Soumik Ghosh,F- NIMTALA GHAT STREET,1082.41,0
HUL-217701D-P17243,Joy Maa Tara Store-D,NO,0,,0,,0,0
HUL-217701D-P8051,Joy Sankar Stores - D,YES,Anjan Sarkar,D-NATUN BAZAR-2,Soumik Ghosh,F-NATUNBAZAR 2,5303.82,1180.59
HUL-217085D-PAR255,Joydeb Mullick-D-D,YES,0,,0,,484.99,0
HUL-217085D-PAR245,JoyEnterprise-D-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,2582.9,3275.36
HUL-217085D-PAR257,Joymata Di-D-D,YES,Subir Mondal,D-NATUN BAZAR-1,0,,10035.11,1052.64
HUL-217085D-PAR258,Judhistir Shaw-D-D,NO,Sunil Mullick,D-R.D.STREET_COMM,Debojyoti Ghosh,F-R D STREET,1620.49,0
HUL-216788P1061,JYOTI TUMPA VARITY STORES-D_U2NC,NO,0,,0,,876.22,0
HUL-217701D-P4238,K C SADHUKHAN (BURTALA)-D,YES,Subir Mondal,D-JORABAGAN ST,Rajesh Karmakar,F-NIMTALA 2,42868.54,24907.22
HUL-217701D-P11763,K D.PRASAD SHAW-D,YES,Subir Mondal,D-RAJAKATRA - 2,0,,40610.01,36849.49
HUL-217701D-P16378,K K R-D,NO,0,,Md. Asraf Ashraf,F-RAJA KATRA,3796.54,0
HUL-217085P-P3557,K P SHAW-P-D,YES,Sunil Mullick,D-AHARITOLA,Debojyoti Ghosh,F-KHOTTA BAZAR,24021.84,2458.52
HUL-217085D-PAR267,K P Sornokar-D-D,YES,Sourav Das,D-MECHUA 1,0,,649.64,0
HUL-217085D-PAR268,K P Stores-D-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,7050.16,994.64
HUL-217085D-P1287,K S BERA-D-D,YES,S K Islam,D-HASTINGS,0,,1969.41,0
HUL-217085D-PAR265,K Shaw B Shaw-D-D,YES,Sandip Saha,D-D C MITRA STREET,0,,6736.95,2016.69
HUL-217432F-PAR601,K. ENTERPRISE-F-D,NO,0,,Md. Asraf Ashraf,F-RAJA KATRA,3016.53,0
HUL-217701D-P13463,K. N. STORES-D,YES,Deepak Kumar Patel,D-DALPATTY,0,,2553.51,13724.16
HUL-217085D-P1062,K.C STORES-D-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,14449.47,2679.02
WB70000760728,K.C.KUNDU (SVS)-D,YES,Sourav Das,D-NIMTALA STREET 2,Rajesh Karmakar,F-NIMTALA 2,23560,1088.43
WB70000102031,K.D. SALES-D-D,YES,Sanjay Das,D-CANNING STREET 1,0,,2147.05,6065690.4
HUL-217701D-P11495,K.D.PRASAD-D,NO,0,,0,,0,0
HUL-217085D-PAR269,K.Das-D-D,NO,Sourav Das,D-NIMTALA STREET 2,0,,1807.36,0
HUL-217701D-P12315,K.L.SINGH-U2NC,YES,0,,0,,3215.24,0
WB70000102062,K.N.D. SALES,YES,Sanjay Das,D-BAGREE,0,,19252.32,199021.31
WB70000102101,K.P. DEY - AGENCY-D-D,NO,0,,0,,0,0
HUL-217701P22438,K2 SHOP,NO,Anjan Sarkar,D-R.D.SARKAR_COMM,0,,599.48,1187.85
HUL-217701D-P11277,KACHU MODI-D,YES,Sunil Mullick,D-R.D.STREET_COMM,0,,3428.54,0
HUL-217701D-P17133,Kailash Stores-D,YES,Subir Mondal,D-JORABAGAN ST,0,,610.41,0
HUL-217085D-PAR270,KAILASH STORES-D-D,YES,Sunil Mullick,D-INDIA EXCHANGE PLACE_COMM,0,,849.82,0
HUL-217701D-P6798,Kajal Stores-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,7673.55,1753.98
HUL-217701D-P10047,KALI PAN BHANDER-D,NO,Sandip Saha,D-NIMTALA GHAT STREET,Soumik Ghosh,F- NIMTALA GHAT STREET,655.97,0
HUL-217701D-P15172,KALIMATA BHANDAR-D,NO,Sandip Saha,D-B. M STREET,Debojyoti Ghosh,F-B M STREET,3179.87,0
HUL-217085D-P1063,KALU RAM SHYAM SUNDAR-D-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,27651.64,0
HUL-217701D-P15208,Kamal Shaw-D,YES,Sourav Das,D-MECHUA 1,Rajesh Karmakar,F-MECHUA 2,1993.16,0
HUL-217701D-P21889,Kamal Singh-D,NO,0,,0,,1718.65,0
HUL-217701D-P4235,KAMALA BHANDER (BURTALA)-D,YES,Subir Mondal,D-KHOTTA BAZAR-WHOLESALE,Soumik Ghosh,F- AHIRITOLA STREET,40399.78,431020.93
HUL-217701D-P15328,KAMALA PAN BHANDER-D,YES,Sourav Das,D-D.C.M STREET,0,,0,0
HUL-217085D-PAR276,Kamala Stores-D-D,YES,Sunil Mullick,D- D.C. M. STREET 2,Debojyoti Ghosh,F-D C M STREET,9281.95,2069.35
HUL-217701D-P7490,Kamaluddin-D,NO,0,,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,2497.04,0
HUL-217085D-PAR278,KANAILAL ASHOKE KUMAR-D-D,YES,Anjan Sarkar,D-BORTALA STREET 1,Md. Asraf Ashraf,F-BURTOLA RETAIL,2285.33,0
HUL-217701D-P14285,Kapil Bhagat-D,NO,0,,0,,541.26,0
HUL-217701D-P14927,Kapil Bhagat-D,YES,Sourav Das,D-KHOTTA BAZAR,0,,3830.78,0
HUL-217701D-P11890,KAPIL DEB MONDAL-D,NO,0,,0,,260.33,0
WB70000120666,KAPURIA MEDICAL HALL-D-D,NO,0,,0,,0,0
HUL-217701D-P6878,Kar Tea House-F-D,YES,0,,Md. Asraf Ashraf,F-RAJAKATRA 3,2905.76,0
HUL-217701D-P11500,KARTICK BHANDER-D,YES,Deepak Kumar Patel,D-RAJAKATRA - 1,0,,0,18074.76
HUL-217432D-K010,KARTIK CH. PAUL-D-D,YES,Deepak Kumar Patel,D-BABU BAZAR 1,0,,699.93,5229.28
HUL-217701D-P16338,Kartik Chandra Pal-D,NO,Deepak Kumar Patel,D-RAJAKATRA - 3_COMM,0,,0,0
HUL-217701D-P17073,Karunakar Shaw-D,NO,0,,0,,761.72,0
HUL-217085D-P3519,KASI NATH SHADHUKHAN - D-D,YES,Sourav Das,D-MECHUA 1,Rajesh Karmakar,F-MECHUA 2,16690.49,25191.72
HUL-217701D-P15428,KASIM STORES-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,9584.5,2505.23
HUL-217701D-P17673,Kavita Agarwal-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,732.51,0
HUL-217701D-P16913,KAVYA ENTERPRISE-D,NO,0,,0,,1138.06,0
HUL-217701D-P21924,KEDIA STORE-D,NO,0,,0,,0,0
WB70000760729,KEDIA STORES(SVS)-D,YES,Anjan Sarkar,D-BORTALA STREET 1,Md. Asraf Ashraf,F-BURTOLA RETAIL,35243.67,0
HUL-217701D-P14127,KEDIA TRADERS-D,NO,Sanjay Das,D-RAJAKATRA 5,0,,410.82,0
WB70000702007,KEDIA&CO-D-D,YES,Sanjay Das,D-RAJAKATRA 5,Md. Asraf Ashraf,F-RAJA KATRA,0,0
HUL-217701D-P10942,KESAB & CO-D,YES,S K Islam,D-B K PAUL,0,,1277.83,0
HUL-217085D-P1295,KESHO SHAW-D-D,YES,S K Islam,D-BOW STREET (1)_COMM,Koina Prasad,F- BOW STREET 1,3661.73,1067.61
HUL-217701D-P15112,Keya Store-D,YES,Anjan Sarkar,D-M M TOLA 2,0,,1958.62,0
HUL-217701D-P15303,Khadija Rice-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,2934.57,0
HUL-217432D-K007,KHADYA SHAMBHAR-D-D,NO,Deepak Kumar Patel,D-BABU BAZAR 1,0,,0,0
HUL-217085D-P1085,KHAN SAHEB-D-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,6478.93,0
HUL-217701D-P6262,KHANDELWAL TRADERS-D,YES,0,,Md. Asraf Ashraf,F-RAJAKATRA 3,0,0
HUL-217701D-P14386,Khartoum. Bazar-D,YES,Subir Mondal,D-JORABAGAN ST,Debojyoti Ghosh,F-KHOTTA BAZAR,1817.02,0
HUL-217085P-P139,KHLID STORES-P-D,NO,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,0,0
HUL-217085D-P1118,KHOKHAN STORES-D-D,YES,S K Islam,D-BOW STREET (1)_COMM,Koina Prasad,F- BOW STREET 1,7758.02,1649.57
HUL-217701D-P11117,KHURSHID ALAM-D,NO,Sourav Das,D-ZAKARIA STREET,0,,866.26,0
HUL-217701P22442,Khushi Agency W.B,NO,0,,0,,349525.92,5152398.24
WB70000102034,KIDDYS-D-D,YES,0,,0,,7654.9,0
HUL-217085D-PAR288,Kiran Stores-D-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,16829.29,17697.48
HUL-217701D-P22050,KISHAN LAL SARDA-D,NO,0,,0,,0,0
HUL-217085D-P1285,Kishori Lal Shaw-D-D,YES,S K Islam,D-HASTINGS,Soumik Ghosh,F-HASTINGS EXTRA,3424.5,721.37
HUL-217085D-PAR289,Kishori Lal Shaw-D-D,YES,S K Islam,D-M G ROAD,0,,1517.32,0
HUL-217085D-PAR264,KLChenna-D-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,7315.73,0
HUL-217701D-P15491,KOLKATA PAN-D,YES,0,,0,,906.35,0
HUL-217085D-PAR8,KPGUPTA-D-D,YES,Sourav Das,D-D.C.M STREET,Debojyoti Ghosh,F-D C M STREET,-864.6,0
HUL-217085D-P1084,KRIPA SANKAR SHAW-D-D,YES,Subir Mondal,D-COLOOTOLA PHEARS LANE,Rajesh Karmakar,F-COLOOTOLA,1747.76,0
HUL-217701D-P11758,KRISHNA ENTERPRISES-D,YES,0,,Md. Asraf Ashraf,F-GUR PATTY,31651.77,0
HUL-217701D-P17852,KRISHNA FLOUR MILLS-D,YES,S K Islam,D-M G ROAD,Koina Prasad,F-M.G.ROAD,3527.5,0
HUL-217701D-P4468,KRISHNA --IC-D,YES,Anjan Sarkar,D-M M TALA_COMM,0,,3135.28,0
HUL-217701F-P4340,KRISHNA PADA GHOSE-F,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,2643.85,1455.04
HUL-217701D-P7375,KRISHNA STORES-D,NO,0,,0,,3832.73,0
HUL-217701D-P6848,Krishna Stores-D,NO,S K Islam,D-HASTINGS,0,,1374.57,0
HUL-217701D-P21903,Krishna Stores-D,YES,Deepak Kumar Patel,D-DALPATTY,0,,0,0
HUL-217701D-P6839,KRISHNA STORES-D-D,YES,Sandip Saha,D-DURGA CHARAN MITRA STREET,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,3058.44,0
HUL-217701D-P21910,Kuber Bhander-D,NO,0,,Md. Asraf Ashraf,F-DAL PATTY,5826.42,0
HUL-217701P22417,KUMAR ENTERPRISE,NO,0,,0,,0,0
HUL-217701D-P17093,Kumar Stores-D,YES,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,6426.01,0
HUL-217085D-P1181,KUNDU TEA & CON-D-D,YES,Sandip Saha,D-CHATTUBABU BAZAR,Debojyoti Ghosh,F-CHATU BABU BAZAR,682.71,0
HUL-217701D-P6948,KUNDU VARITY STORES-D,YES,0,,0,,875.79,0
HUL-217701P22420,L G STORES,NO,Sanjay Das,D-GANESH MKT,0,,25291.92,0
HUL-217085D-P953,L I C EMPLOYEES CO-OP ST.-D-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,0,0
WB70000702038,L.P.SINGH-D-D,YES,Sanjay Das,D-RAJAKATRA 5,0,,737.12,52153.44
HUL-217085P-P3502,LAHA ENTERPRISE-P-D,YES,Sunil Mullick,D-AHARITOLA,Debojyoti Ghosh,F-KHOTTA BAZAR,2117.11,0
HUL-217085D-PAR295,Laha Stores-D-D,YES,Sunil Mullick,D-AHARITOLA,Soumik Ghosh,F- AHIRITOLA STREET,3825.98,1364.7
HUL-217701D-P11985,LAKENATH PAN SHOP-D,NO,Sandip Saha,D-CHATTUBABU BAZAR,0,,1510.92,0
HUL-217085D-P1141,Lakhan Shaw-D-D,YES,S K Islam,D-BOW STREET(2)_COMM,Koina Prasad,F-BOW STREET 2,6975.74,0
HUL-217701D-P15343,Lakkhi Stores-D,YES,Sandip Saha,D-DURGA CHARAN MITRA STREET,Debojyoti Ghosh,F-D C M STREET,1187.97,0
HUL-217701D-P22245,Lakshmi Narayan Bhandar-D,NO,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,5488.11,0
HUL-217701D-P12640,LAKSMAN SHAW-D,YES,0,,Debojyoti Ghosh,F-CHATU BABU BAZAR,568.22,0
HUL-217701D-P16228,LALAN SINGH-D,YES,Subir Mondal,D- NATUN BAZAR 3,0,,2124.03,0
HUL-217701D-P11965,LATTU STORES-U2NC,YES,Sunil Mullick,D-KALAKAR STREET 2,0,,4219.87,0
HUL-217701D-P12385,LAXMAN SHAW-D,NO,Sourav Das,D-D.C.M STREET,0,,623.31,0
HUL-217085D-PAR298,LAXMI VARAITY STORES-D-D,YES,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,3477.04,1164.05
HUL-217701P22443,Laxmi Bhandar,NO,0,,0,,575.92,0
HUL-217701D-P15596,LAXMI BHANDER-D,NO,Deepak Kumar Patel,D-GUR PATTY,0,,0,19111.29
HUL-217701D-P4420,Laxmi Bhander--IC-D,YES,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,14700.45,1840.19
HUL-217085D-PAR304,Laxmi Narayan Bhandar-D-D,YES,Anjan Sarkar,D-NATUN BAZAR-2,0,,1260.29,0
HUL-217701D-P13805,LAXMI NARAYAN SHAW-D,YES,Anjan Sarkar,D-NATUN BAZAR-2,Soumik Ghosh,F-NATUNBAZAR 2,21403.57,7169.63
HUL-217085D-P815,LAXMI NARAYAN SHAW-D-D,YES,Sourav Das,D-ZAKARIA STREET,0,,3837.51,1453.22
HUL-217701D-P4510,LAXMI NARAYAN TRADERS--IC-D,YES,Sourav Das,D-D.C.M STREET,0,,16141.96,1746.37
HUL-217085P-P3609,LAXMI STORES(BAG)-P-D,YES,Sunil Mullick,D-BAGBAZAR,Soumik Ghosh,F-BAG BAZAR,3239.11,0
HUL-217085D-PAR312,Laxmi Stores(M1)-D-D,YES,Subir Mondal,D-NATUN BAZAR-1,Rajesh Karmakar,F-MECHUA 2,10443.46,0
HUL-217085D-P816,LAXMI STORES(ZAKARIA)-D-D,YES,Sourav Das,D-ZAKARIA STREET,Rajesh Karmakar,F-COLOOTOLA,5265.13,0
HUL-217701D-P17108,Laxmi Stores-D,NO,0,,0,,2715.69,0
HUL-217701D-P13589,LAXMI STORES-D,YES,Subir Mondal,D-JORABAGAN ST,Soumik Ghosh,F- NIMTALA GHAT STREET,4561.74,2408.76
HUL-217701D-P11147,LAXMI STORES-D,YES,S K Islam,D-HASTINGS,0,,1131.23,0
HUL-217701D-P17838,Laxmi stores-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,3486.78,0
HUL-217701D-P11788,LAXMI STORES-D,NO,0,,Md. Asraf Ashraf,F-RAJA KATRA,1139.46,0
HUL-217085D-PAR313,Laxmi Stores-D-D,YES,Sandip Saha,D-D C MITRA STREET,0,,675.9,0
HUL-217701D-P11430,LAXMINARAYAN BHANDER-D,YES,Anjan Sarkar,D-M M TOLA 2,Rajesh Karmakar,F-M.M.TOLA 2,2807.07,1096.59
HUL-216252F-1607,LAXMINARAYAN SHOW (CH.BABU BZ)-F-D,YES,Subir Mondal,D-NATUN BAZAR-1,Md. Asraf Ashraf,F-NATUNBAZAR 1,0,-528.74
HUL-217085D-PAR306,LaxmiNarayanFoodStores-D-D,YES,Sandip Saha,D-D C MITRA STREET,Debojyoti Ghosh,F-D C M STREET,19463.02,0
WB70000702037,LAXMINARAYANTRADERS-D-D,YES,Sanjay Das,D-RAJAKATRA 5,Md. Asraf Ashraf,F-RAJA KATRA,26224.09,0
HUL-217085D-PAR309,LaxmiShaw-D-D,YES,S K Islam,D-M G ROAD,Rajesh Karmakar,F-MECHUA 2,0,8479.09
HUL-217085D-PAR283,Loke Nath Bhandar(CHATU)-D-D,YES,Anjan Sarkar,D-R.D.SARKAR_COMM,Soumik Ghosh,F- R.D.SARKAR STREET,3945.6,0
HUL-217701D-P12325,LOKE NATH STORES-D,YES,Sandip Saha,D-DURGA CHARAN MITRA STREET,0,,1666.84,0
HUL-217085D-PAR314,Loke Nath Stores-D-D,YES,Sandip Saha,D-NIMTALA GHAT STREET,Soumik Ghosh,F- NIMTALA GHAT STREET,4090.81,4171.06
HUL-217085D-PAR315,Loke Nath Variety-D-D,YES,Sunil Mullick,D-KALAKAR STREET 2,Rajesh Karmakar,F-KALAKAR STREET 2,39370.42,11290.57
HUL-217085P-P3627,LOKENATH BHANDER-P-D,YES,Anjan Sarkar,D-M M TALA_COMM,Debojyoti Ghosh,F-M M TALA,28129.99,7069.23
HUL-217701D-P6953,Lokenath Cake-D,YES,Sandip Saha,D-B. M STREET,Debojyoti Ghosh,F-B M STREET,1438,0
HUL-217701D-P17053,LOKENATH STORE-D,YES,Anjan Sarkar,D-M M TALA_COMM,Debojyoti Ghosh,F-M M TALA,3050.02,0
HUL-217701D-P13935,LOKNATH ENTERPRISE-D,YES,Sourav Das,D-NIMTALA STREET 2,Rajesh Karmakar,F-NIMTALA 2,3443.41,1062.88
HUL-217701D-P17453,LOKNATH STORES-D,NO,0,,0,,0,0
HUL-217085D-PAR319,Lucky Variety Stores-D-D,YES,S K Islam,D-M G ROAD,Koina Prasad,F-M.G.ROAD,18718.4,4101.78
HUL-217701P22451,M B Haque,YES,0,,Soumik Ghosh,F-INDIA EXCH. PLACE,2368.59,0
HUL-217701D-P17468,M C SETH OTHERS-D,NO,0,,Koina Prasad,F-M.G.ROAD,0,0
HUL-217701D-P13695,M CHOWDHURY-D,NO,Sandip Saha,D-B. M STREET,0,,1684.75,0
HUL-217085D-PAR322,M COMPANY-D-D,YES,Sandip Saha,D-KALAKAR STREET,0,,0,0
HUL-217085D-P1150,M D STORES-D-D,YES,0,,Rajesh Karmakar,F-COLOOTOLA,1953.66,0
HUL-217701D-P11642,M D SALIM-D,NO,Subir Mondal,D-COLOOTOLA PHEARS LANE,0,,0,0
HUL-217085D-PAR324,M H Stores-D-D,YES,Sourav Das,D-MECHUA 2,Rajesh Karmakar,F-MECHUA 2,8815.1,0
HUL-217701D-P17143,M Italian TEA-D,NO,0,,Md. Asraf Ashraf,F-RAJA KATRA,8727.36,0
HUL-217701D-P16519,M P Agarwal-D,YES,Sunil Mullick,D-KALAKAR STREET 2,Rajesh Karmakar,F-KALAKAR STREET 2,4444.79,5465.2
HUL-217701D-P11647,M P JAISWAL-D,NO,Sourav Das,D-MECHUA 1,0,,554.78,0
HUL-217701D-P17173,M P Stores-D,YES,Anjan Sarkar,D-NATUN BAZAR-2,0,,2296.75,-638.09
HUL-217701P22440,M S Gupta Traders,YES,0,,0,,699.68,0
HUL-217701D-P16318,M S Gurupada Pal-D,NO,Deepak Kumar Patel,D-RAJAKATRA - 3_COMM,0,,0,0
HUL-217701D-P16308,M S Naresh Chandra Deb-D,NO,Deepak Kumar Patel,D-RAJAKATRA - 3_COMM,0,,0,0
HUL-217701D-P17372,M. M. ENTERPRISE-D,YES,Sanjay Das,D-RAJAKATRA 5,0,,35549.77,65948.96
WB70000702040,M.C. DAW-D-D,YES,0,,0,,0,0
HUL-217701D-P12756,M.DHAR & COMPANY-D,YES,0,,Soumik Ghosh,F-INDIA EXCH. PLACE,9227.27,0
HUL-217701D-P17208,M.H.Stores-D,NO,S K Islam,D-PHEARS LANE,Koina Prasad,F-PHEARS LANE,0,0
HUL-217701F-P4323,M.M.KHAN-F,YES,0,,Koina Prasad,F-PHEARS LANE,3451.83,822.99
WB70000120696,M.N.GHOSH & CO-D_U2NC,YES,Sanjay Das,D-CANNING STREET,0,,10293.28,0
HUL-217432D-S040,M.P.AGARWAL-D-D,YES,Subir Mondal,D-KHOTTA BAZAR-WHOLESALE,Debojyoti Ghosh,F-KHOTTA BAZAR,23104.64,3021.61
HUL-217701D-P13036,M/S ANNAPURNA STORES-D,YES,Sandip Saha,D-DURGA CHARAN MITRA STREET,Rajesh Karmakar,F-DURGA CHARAN MITRA STREET,6177.54,0
HUL-217701D-P6865,M/S Bagaria Brothers-D,NO,0,,0,,43787.93,0
HUL-217701D-P13409,M/S MADRAS LAUNDRY-D,YES,Anjan Sarkar,D-M M TALA_COMM,0,,1162.99,0
HUL-217701D-P10787,M/S NIRAPADA PAUL-D,YES,Deepak Kumar Patel,D-DALPATTY,0,,0,9153.36
HUL-217701D-P12475,M/S SANJOY STORES-D,YES,Sourav Das,D-D.C.M STREET,Debojyoti Ghosh,F-D C M STREET,4470.14,0
HUL-217701D-P13445,M/S. SUBHADEEP ENTERPRISE-D,YES,Sanjay Das,D-GANESH MKT,0,,12203.25,0
WB70000602105,MA BAISHNO DEVI-D-D,NO,Subir Mondal,D-KHOTTA BAZAR-WHOLESALE,0,,1764.3,0
HUL-217701D-P16890,Ma Durga Stores-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,5469.09,671.83
WB70000702041,MA SHITALA BHANDAR-D-D,YES,Deepak Kumar Patel,D-RAJAKATRA - 1,0,,250.74,0
HUL-217701D-P17258,Ma Siddheswari Stores-D,YES,Anjan Sarkar,D-RAM MANDIR,Koina Prasad,F-RAM MANDIR,1479.73,2523.84
HUL-217701D-P17183,Ma Sitala Bhander-D,NO,Anjan Sarkar,D-NATUN BAZAR-2,Soumik Ghosh,F-NATUNBAZAR 2,3184.24,0
HUL-217701D-P16980,Maa Annapurna Bhander-D,YES,Sandip Saha,D-D C MITRA STREET,0,,2490.53,0
